Stage	Description	Sort_by	Putative_cell_type	IDs
E10.5D_3_12	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_13	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_14	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_15	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_16	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E11.5D_1_01	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_02	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_03	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_04	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_05	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_06	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_07	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_08	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_09	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_10	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_11	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_13	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_14	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_15	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_1_16	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_01	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_03	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_05	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_06	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_07	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_08	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_09	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_10	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_11	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_12	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_2_13	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_01	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_02	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_03	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_04	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_05	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_06	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5D_3_07	E11.5	P1_gate	DLK	hepatoblast/hepatocyte	1
E11.5E_2_01	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_02	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_03	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_05	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_06	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_07	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_08	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_09	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_10	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_11	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_12	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_13	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_14	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_15	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_16	E11.5	P2_gate	EpCAM	cholangiocyte	1
E11.5E_2_17	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_18	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_19	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_20	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_21	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_22	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_23	E11.5	P2_gate	EpCAM	cholangiocyte	1
E11.5E_2_24	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_25	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_2_26	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_01	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_02	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_03	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_04	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_05	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_06	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_07	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E11.5E_3_08	E11.5	P2_gate	EpCAM	hepatoblast/hepatocyte	1
E12.5D_1_01	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_02	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_03	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_04	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_05	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_06	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_07	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_08	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_09	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_10	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_11	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_12	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_13	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_14	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_1_15	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_2_01	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_2_02	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_2_03	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_2_04	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_2_05	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5D_2_06	E12.5	P1_gate	DLK	hepatoblast/hepatocyte	2
E12.5E_1_01	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_03	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_04	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_05	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_06	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_07	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_08	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_09	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_10	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_11	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_12	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_13	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_1_14	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_2_01	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_2_02	E12.5	P2_gate	EpCAM	cholangiocyte	2
E12.5E_2_03	E12.5	P2_gate	EpCAM	cholangiocyte	2
E12.5E_2_04	E12.5	P2_gate	EpCAM	cholangiocyte	2
E12.5E_2_05	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E12.5E_2_06	E12.5	P2_gate	EpCAM	hepatoblast/hepatocyte	2
E13.5D_1_01	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_02	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_03	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_04	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_05	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_06	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_07	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_08	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_09	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_10	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_11	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_12	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_1_13	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_01	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_02	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_03	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_04	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_05	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_06	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_07	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_08	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_09	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_10	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_11	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_12	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_13	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_14	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_15	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_16	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_17	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_2_18	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_01	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_02	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_03	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_04	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_05	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_06	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_07	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5D_3_08	E13.5	P1_gate	DLK	hepatoblast/hepatocyte	3
E13.5E_2_01	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_02	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_03	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_04	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_05	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_06	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_07	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_08	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_09	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_10	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_11	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_12	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_13	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_14	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_15	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_16	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_2_17	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_2_18	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_3_01	E13.5	P2_gate	EpCAM	cholangiocyte	3
E13.5E_3_02	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_3_03	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_3_04	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_3_05	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_3_06	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_3_07	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E13.5E_3_08	E13.5	P2_gate	EpCAM	hepatoblast/hepatocyte	3
E14.5D_1_01	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_02	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_03	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_04	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_05	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_06	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_07	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_08	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_09	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_1_10	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_2_01	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_2_02	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_2_03	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_01	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_02	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_03	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_04	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_05	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_06	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_07	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_08	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_09	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_10	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_11	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_12	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_13	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5D_3_14	E14.5	P1_gate	DLK	hepatoblast/hepatocyte	4
E14.5E_1_01	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_02	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_03	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_04	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_05	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_06	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_07	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_1_08	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_1_09	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_1_10	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_1_11	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_1_12	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_1_13	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_01	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_02	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_2_03	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_2_04	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_2_05	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_06	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_07	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_08	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_09	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_2_10	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_2_11	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_01	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_02	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_03	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_04	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_05	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_06	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_07	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_08	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_09	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_10	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_11	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_12	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_13	E14.5	P2_gate	EpCAM	hepatoblast/hepatocyte	4
E14.5E_3_14	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_15	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_16	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_17	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_18	E14.5	P2_gate	EpCAM	cholangiocyte	4
E14.5E_3_19	E14.5	P2_gate	EpCAM	cholangiocyte	4
E15.5D_1_01	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_02	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_03	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_04	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_05	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_06	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_07	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_08	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_09	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_10	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_11	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_1_12	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_01	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_02	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_03	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_04	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_05	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_06	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_07	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_3_08	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_01	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_02	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_03	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_04	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_05	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_06	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_07	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_08	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_09	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_10	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_11	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_12	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_13	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_14	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_15	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_16	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_17	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_18	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5D_4_19	E15.5	P1_gate	DLK	hepatoblast/hepatocyte	5
E15.5E_2_01	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_02	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_03	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_04	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_05	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_06	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_07	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_08	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_09	E15.5	P2_gate	EpCAM	cholangiocyte	5
